,Zip Code,Year,Median Income (dollars)
597,75160,2012,44880.0
598,75160,2013,45037.666666666664
599,75160,2014,46135.583333333336
600,75160,2015,45465.625
601,75160,2016,45115.041666666664
602,75161,2011,56962.0
603,75161,2012,61011.5
604,75161,2013,59947.583333333336
605,75161,2014,52753.375
606,75161,2015,50765.0
607,75161,2016,49303.0
608,75163,2011,41250.0
609,75163,2012,50972.916666666664
610,75163,2013,55191.666666666664
611,75163,2014,54909.166666666664
612,75163,2015,54248.833333333336
613,75163,2016,47084.083333333336
614,75164,2011,57273.0
615,75164,2012,61187.625
616,75164,2013,59918.583333333336
617,75164,2014,58456.75
618,75164,2015,57791.666666666664
619,75164,2016,51150.416666666664
620,75165,2011,58218.0
621,75165,2012,58957.375
622,75165,2013,59475.75
623,75165,2014,58512.916666666664
624,75165,2015,57743.583333333336
625,75165,2016,58705.541666666664
626,75166,2011,77593.0
627,75166,2012,79214.20833333333
628,75166,2013,77995.75
629,75166,2014,80333.95833333333
630,75166,2015,84440.0
631,75166,2016,84601.66666666667
632,75167,2011,83873.0
633,75167,2012,81230.75
634,75167,2013,77484.83333333333
635,75167,2014,78608.20833333333
636,75167,2015,80125.41666666667
637,75167,2016,78299.54166666667
638,75169,2011,42242.0
639,75169,2012,41958.166666666664
640,75169,2013,42583.58333333333
641,75169,2014,42798.166666666664
642,75169,2015,42098.916666666664
643,75169,2016,42800.45833333333
644,75172,2011,36538.0
645,75172,2012,37544.95833333333
646,75172,2013,38856.875
647,75172,2014,38672.916666666664
648,75172,2015,36348.5
649,75172,2016,36357.95833333333
650,75173,2011,64798.0
651,75173,2012,65573.66666666667
652,75173,2013,66824.20833333333
653,75173,2014,66735.5
654,75173,2015,66372.58333333333
655,75173,2016,66561.04166666667
656,75180,2011,39265.0
657,75180,2012,38655.08333333333
658,75180,2013,37948.33333333333
659,75180,2014,38448.375
660,75180,2015,38988.5
661,75180,2016,40254.666666666664
662,75181,2011,83182.0
